,setName,object,user,date,figure,nLines,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,Ang_0,Ang_1,Ang_2,Ang_3,Ang_4,Ang_5,Ang_6,Ang_7,Ang_8,Ang_9,Ang_10,Ang_11,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,,,,,,,,,,,,,Average,Std Deviation,Warning List
0,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_002.png,5,17,497,403,16,505,7,99,507,624,8,182,519,709,12,290,532,500,527,901,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75,39.08,40.86,38.86,37.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,0.96,
1,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_004.png,9,133,538,72,9,145,12,207,520,198,15,268,504,249,25,310,489,347,29,399,493,465,40,498,448,397,34,449,468,551,41,621,468,631,39,695,472,,,,,,,,,,,,,-6.58,-6.96,-8.15,-7.49,-6.39,-4.62,-6.83,-9.31,-8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.19,1.28,
2,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_008.png,8,39,43,145,534,132,33,224,519,214,26,301,487,287,48,386,453,364,28,478,462,448,13,530,436,522,25,615,416,602,17,684,299,,,,,,,,,,,,,,,,,-12.18,-10.72,-10.69,-13.74,-14.72,-10.97,-13.38,-16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.83,1.91,
3,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_009.png,11,16,136,196,512,22,17,278,482,119,11,357,478,214,15,416,436,297,11,493,445,408,20,569,429,500,30,641,379,625,123,720,385,665,45,806,429,739,27,860,364,821,27,940,357,,,,,-25.58,-28.83,-27.01,-25.63,-24.3,-21.49,-22,-19.93,-20.16,-19.75,-19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.14,3.11,yes
4,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_010.png,11,176,449,255,546,239,398,338,530,258,291,434,542,329,253,505,513,393,202,576,490,444,159,676,503,518,120,754,489,603,95,826,470,652,66,886,422,739,56,933,366,824,32,961,256,,,,,,,-35.04,-34.09,-32.43,-34,-32.6,-30.74,-33.32,-32.04,-31.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.86,1.3,
5,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_012.png,7,313,347,514,546,258,141,611,526,264,37,643,459,325,13,776,481,422,6,841,434,571,27,880,355,694,35,945,291,,,,,,,,,,,,,,,,,,,,,-45.29,-42.52,-41.93,-43.94,-44.39,-43.29,-44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.68,1.09,
6,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_013.png,9,325,441,401,529,333,351,501,526,334,238,506,414,324,118,662,489,356,47,809,517,456,58,880,499,575,79,891,387,648,28,899,295,747,26,909,199,,,,,,,,,,,,,,-43.83,-44.34,-42.34,-43.94,-43.87,-45.73,-43.23,-43.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.8,0.94,
7,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_014.png,11,306,542,212,471,190,322,354,531,176,216,483,536,183,115,582,538,186,66,608,524,230,25,662,487,300,1,761,488,404,3,839,469,507,9,900,394,688,24,959,311,788,12,976,217,,,,,,-38.12,-43.81,-43.33,-42.66,-43.08,-43.43,-43.03,-45.59,-43.36,-42.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.89,1.78,
8,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_017.png,8,521,7,588,389,570,8,641,381,623,4,684,338,677,11,723,345,725,14,789,347,782,9,832,320,826,7,883,320,869,11,928,304,,,,,,,,,,,,,,,,,-9.95,-10.78,-10.35,-7.84,-10.88,-9.13,-10.32,-11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.08,1.05,
9,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_020.png,8,5,382,319,163,7,292,341,55,7,193,280,18,8,117,199,10,37,507,649,72,410,533,793,111,628,542,906,297,821,530,944,375,,,,,,,,,,,,,,,,,55.11,54.64,57.34,60.74,54.6,42.23,48.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32,5.64,yes
