,setName,object,user,date,figure,nLines,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,Ang_0,Ang_1,Ang_2,Ang_3,Ang_4,Ang_5,Ang_6,Ang_7,Ang_8,Ang_9,Ang_10,Ang_11,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,,,,,,,,,,,,,Average,Std Deviation,Warning List
0,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_002.png,6,445,32,149,401,543,14,441,136,964,38,819,225,694,88,429,453,849,73,743,219,670,235,548,418,,,,,,,,,,,,,,,,,,,,,,,,,38.74,,37.79,35.98,,33.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55,1.92,
1,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_004.png,7,77,22,118,444,357,47,392,438,405,24,414,201,592,35,606,153,683,334,716,533,513,71,555,475,281,303,311,530,,,,,,,,,,,,,,,,,,,,,-5.55,-5.12,,,-9.42,-5.94,-7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.71,1.58,
2,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_008.png,5,398,27,514,486,655,34,761,436,77,78,170,499,241,18,341,483,161,33,251,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.18,-14.77,-12.46,-12.14,-11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.03,1.23,
3,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_009.png,10,786,27,942,493,709,44,872,512,632,53,789,512,537,25,716,515,459,41,630,517,362,31,552,518,479,522,272,47,202,45,403,503,124,86,328,504,69,134,256,509,,,,,,,,,-18.51,-19.2,-18.88,-20.07,-19.76,-21.31,-23.55,-23.69,-26.01,-26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.75,2.83,yes
4,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_010.png,9,786,30,970,320,889,43,974,168,739,92,958,465,688,160,886,516,619,187,812,511,551,233,728,516,463,246,641,522,436,327,544,509,405,404,461,507,,,,,,,,,,,,,-32.39,,-30.42,-29.08,-30.78,-32.02,-32.82,-30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.17,1.21,
5,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_012.png,6,421,58,808,457,389,110,684,442,336,175,606,473,342,291,530,506,352,430,441,528,941,497,659,158,,,,,,,,,,,,,,,,,,,,,,,,,-44.13,-41.62,-42.18,-41.17,,-39.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.77,1.43,
6,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_013.png,7,337,190,618,509,437,179,699,482,563,119,850,419,393,31,818,486,336,317,539,529,613,40,955,408,718,34,975,294,,,,,,,,,,,,,,,,,,,,,-41.38,-40.85,-43.73,-43.05,-43.76,-42.9,-44.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.9,1.26,
7,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_014.png,9,244,32,680,505,380,73,807,534,484,77,862,488,707,39,943,288,643,73,902,348,617,131,862,385,244,125,555,468,203,193,498,518,197,284,389,514,,,,,,,,,,,,,-42.67,-42.81,-42.6,-43.46,-43.28,-43.97,-42.2,-42.23,-39.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.56,1.1,
8,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_017.png,8,548,10,613,395,597,25,661,359,658,20,706,343,703,17,758,339,752,22,807,336,802,15,861,326,854,31,916,351,905,30,922,167,,,,,,,,,,,,,,,,,-9.58,-10.85,-8.45,-9.69,-9.94,-10.74,-10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.03,0.83,
9,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_020.png,4,1054,521,720,775,768,781,936,654,822,784,1070,604,1093,680,1023,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.75,52.91,54.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.23,0.57,
