,figures,specialist_0,specialist_1,specialist_2,std_0,std_1,std_2,warn_0,warn_1,warn_2,Std Deviation,Mean,ShouldBeUsed?,,U_0_1,Var_0_1,Dev_0_1,,U_01_2,Var_01_2,Dev_01_2,,U_1_2,Var_1_2,Dev_1_2,,U_12_0,Var_12_0,Dev_12_0
0,conf_002,36.55,39.1,38.15,1.92,0.96,2.19,None,None,None,1.052,37.933,,,38.590,0.737,0.859,,38.531,0.639,0.799,,38.947,0.773,0.879,,38.531,0.639,0.799
1,conf_004,-6.71,-7.19,-8.02,1.58,1.28,2.15,None,None,None,0.541,-7.307,,,-7.000,0.989,0.995,,-7.180,0.815,0.903,,-7.407,1.210,1.100,,-7.180,0.815,0.903
2,conf_008,-13.03,-12.83,-13.94,1.23,1.91,1.74,None,None,None,0.483,-13.267,,,-12.971,1.069,1.034,,-13.224,0.790,0.889,,-13.437,1.655,1.286,,-13.224,0.790,0.889
3,conf_009,-21.75,-23.14,-19.88,2.83,3.11,1.89,yes,yes,None,1.336,-21.59,no,,-22.380,4.381,2.093,,-21.003,1.968,1.403,,-20.759,2.609,1.615,,-21.003,1.968,1.403
4,conf_010,-31.17,-32.86,-34.35,1.21,1.3,2.05,None,None,None,1.299,-32.793,,,-31.954,0.784,0.886,,-32.331,0.661,0.813,,-33.287,1.205,1.098,,-32.331,0.661,0.813
5,conf_012,-41.77,-43.68,-42.7,1.43,1.09,0.61,None,None,None,0.78,-42.717,,,-42.978,0.751,0.867,,-42.792,0.249,0.499,,-42.934,0.283,0.532,,-42.792,0.249,0.499
6,conf_013,-42.9,-43.8,-44.78,1.26,0.94,1.26,None,None,None,0.768,-43.827,,,-43.478,0.568,0.753,,-43.821,0.418,0.647,,-44.150,0.568,0.753,,-43.821,0.418,0.647
7,conf_014,-42.56,-42.89,-44.51,1.1,1.78,2.58,None,None,yes,0.852,-43.32,,,-42.651,0.876,0.936,,-42.867,0.774,0.880,,-43.412,2.147,1.465,,-42.867,0.774,0.880
8,conf_017,-10.03,-10.08,-10.73,0.83,1.05,0.63,None,None,None,0.319,-10.28,,,-10.049,0.424,0.651,,-10.401,0.205,0.453,,-10.558,0.292,0.540,,-10.401,0.205,0.453
9,conf_020,53.23,53.32,53.99,0.57,5.64,0.96,None,yes,None,0.339,53.513,,,53.231,0.322,0.567,,53.427,0.238,0.488,,53.971,0.896,0.946,,53.427,0.238,0.488
10,conf_029,-9.86,-10.01,-9.71,1.09,1.53,1.47,None,None,None,0.122,-9.86,,,-9.911,0.788,0.888,,-9.857,0.577,0.760,,-9.854,1.124,1.060,,-9.857,0.577,0.760
11,conf_030,-10.21,-10.11,-9.87,1.17,1.65,1.71,None,None,None,0.143,-10.063,,,-10.177,0.911,0.954,,-10.104,0.695,0.833,,-9.994,1.410,1.187,,-10.104,0.695,0.833
12,conf_032,-8.54,-7.62,-8.74,1.29,2.21,0.77,None,None,None,0.488,-8.3,,,-8.306,1.241,1.114,,-8.600,0.401,0.633,,-8.619,0.529,0.727,,-8.600,0.401,0.633
13,conf_037,-2.05,-1.06,-1.97,1.49,1.04,0.85,None,None,None,0.449,-1.693,,,-1.384,0.727,0.853,,-1.678,0.362,0.602,,-1.606,0.433,0.658,,-1.678,0.362,0.602
14,conf_038,-1.65,-1.79,-1.18,1.84,2.1,2.5,None,None,None,0.261,-1.54,,,-1.711,1.915,1.384,,-1.586,1.466,1.211,,-1.538,2.586,1.608,,-1.586,1.466,1.211
15,conf_041,-0.71,0.79,-1.56,2.3,0.8,1.35,None,None,None,0.972,-0.493,,,0.628,0.571,0.756,,0.106,0.435,0.659,,0.179,0.474,0.688,,0.106,0.435,0.659
16,conf_053,-6.82,-7.6,-7.32,0.8,2.22,0.5,None,None,None,0.323,-7.247,,,-6.910,0.566,0.753,,-7.194,0.173,0.416,,-7.334,0.238,0.488,,-7.194,0.173,0.416
17,conf_054,-6.31,-7.69,-6.02,0.98,0.8,0.94,None,None,None,0.729,-6.673,,,-7.138,0.384,0.620,,-6.799,0.268,0.517,,-6.989,0.371,0.609,,-6.799,0.268,0.517
18,conf_060,-5.78,-5.97,-5.33,1.75,0.8,1.26,None,None,None,0.268,-5.693,,,-5.937,0.529,0.728,,-5.785,0.397,0.630,,-5.786,0.456,0.675,,-5.785,0.397,0.630
