,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-56.8,-6.463,50.34
5,conf_012,-41.30000000000001,-42.784,1.48
6,conf_013,-42.80000000000001,-43.891,1.09
7,conf_014,-42.69999999999999,-43.215,0.52
8,conf_017,71.8,-10.502,82.3
10,conf_029,-38.19999999999999,-9.952,28.25
11,conf_030,53.8,-10.196,64.0
12,conf_032,54.9,-8.587,63.49
13,conf_037,46.5,-1.493,47.99
15,conf_041,62.2,0.988,61.21
16,conf_053,-6.800000000000011,-7.317,0.52
17,conf_054,-6.900000000000006,-6.975,0.07
18,conf_060,-5.199999999999989,-5.741,0.54
19,conf_061,-34.400000000000006,-6.059,28.34
20,conf_062,-9.900000000000006,-8.045,1.86
21,conf_063,8.3,8.137,0.16
22,conf_064,8.1,8.494,0.39
23,conf_065,8.2,8.41,0.21
24,conf_066,-8.199999999999989,-8.593,0.39
25,conf_067,-79.9,-81.425,1.52
26,conf_068,83.8,83.428,0.37
27,conf_069,-83.0,-82.541,0.46
28,conf_070,-82.0,-82.386,0.39
29,conf_071,-3.5999999999999943,-2.894,0.71
30,conf_072,-1.9000000000000057,-2.388,0.49
31,conf_073,0.2,-1.803,2.0
32,conf_074,-11.400000000000006,-11.017,0.38
33,conf_075,86.0,86.535,0.53
34,conf_081,17.3,19.381,2.08
35,conf_082,45.0,45.473,0.47
36,conf_083,-7.300000000000011,-8.082,0.78
37,conf_084,20.9,21.002,0.1
38,conf_085,44.5,44.189,0.31
39,conf_086,35.0,19.864,15.14
41,Average Absolute Error,-----,-----,13.496
42,Std dev,-----,-----,23.728
