,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-65.2,-6.463,58.74
5,conf_012,-41.0,-42.784,1.78
6,conf_013,-43.6,-43.891,0.29
7,conf_014,-41.6,-43.215,1.62
8,conf_017,-9.599999999999994,-10.502,0.9
10,conf_029,-66.2,-9.952,56.25
11,conf_030,-9.0,-10.196,1.2
12,conf_032,57.5,-8.587,66.09
13,conf_037,-2.5999999999999943,-1.493,1.11
15,conf_041,0.7,0.988,0.29
16,conf_053,-6.400000000000006,-7.317,0.92
17,conf_054,-6.699999999999989,-6.975,0.28
18,conf_060,-7.800000000000011,-5.741,2.06
19,conf_061,-7.099999999999994,-6.059,1.04
20,conf_062,-8.099999999999994,-8.045,0.05
21,conf_063,8.0,8.137,0.14
22,conf_064,8.0,8.494,0.49
23,conf_065,8.1,8.41,0.31
24,conf_066,-7.699999999999989,-8.593,0.89
25,conf_067,-80.1,-81.425,1.33
26,conf_068,83.0,83.428,0.43
27,conf_069,-81.5,-82.541,1.04
28,conf_070,-82.8,-82.386,0.41
29,conf_071,-1.3000000000000114,-2.894,1.59
30,conf_072,-1.9000000000000057,-2.388,0.49
31,conf_073,-2.0,-1.803,0.2
32,conf_074,-15.0,-11.017,3.98
33,conf_075,87.4,86.535,0.87
34,conf_081,19.1,19.381,0.28
35,conf_082,44.9,45.473,0.57
36,conf_083,-7.300000000000011,-8.082,0.78
37,conf_084,20.4,21.002,0.6
38,conf_085,44.3,44.189,0.11
39,conf_086,18.2,19.864,1.66
41,Average Absolute Error,-----,-----,6.141
42,Std dev,-----,-----,16.929
