,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-6.6,-6.463,0.14
5,conf_012,-43.1,-42.784,0.32
6,conf_013,-42.8,-43.891,1.09
7,conf_014,-42.8,-43.215,0.42
8,conf_017,-10.8,-10.502,0.3
10,conf_029,-10.1,-9.952,0.15
11,conf_030,-10.1,-10.196,0.1
12,conf_032,-7.3,-8.587,1.29
13,conf_037,-2.1,-1.493,0.61
15,conf_041,-0.0,0.988,0.99
16,conf_053,-7.1,-7.317,0.22
17,conf_054,-7.2,-6.975,0.23
18,conf_060,-5.9,-5.741,0.16
19,conf_061,-6.2,-6.059,0.14
20,conf_062,-8.9,-8.045,0.86
21,conf_063,7.199999999999989,8.137,0.94
22,conf_064,8.099999999999994,8.494,0.39
23,conf_065,7.900000000000006,8.41,0.51
24,conf_066,-7.9,-8.593,0.69
25,conf_067,-81.3,-81.425,0.12
26,conf_068,83.4,83.428,0.03
27,conf_069,-83.1,-82.541,0.56
28,conf_070,-83.0,-82.386,0.61
29,conf_071,-1.9,-2.894,0.99
30,conf_072,-0.0,-2.388,2.39
31,conf_073,-1.1,-1.803,0.7
32,conf_074,-12.9,-11.017,1.88
33,conf_075,86.4,86.535,0.13
34,conf_081,18.30000000000001,19.381,1.08
35,conf_082,44.900000000000006,45.473,0.57
36,conf_083,-8.4,-8.082,0.32
37,conf_084,20.30000000000001,21.002,0.7
38,conf_085,43.6,44.189,0.59
39,conf_086,19.099999999999994,19.864,0.76
41,Average Absolute Error,-----,-----,0.617
42,Std dev,-----,-----,0.508
