,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-6.5,-6.463,0.04
5,conf_012,-43.0,-42.784,0.22
6,conf_013,-43.0,-43.891,0.89
7,conf_014,-43.0,-43.215,0.22
8,conf_017,-11.0,-10.502,0.5
10,conf_029,-10.0,-9.952,0.05
11,conf_030,-10.0,-10.196,0.2
12,conf_032,-7.5,-8.587,1.09
13,conf_037,-2.0,-1.493,0.51
15,conf_041,-0.0,0.988,0.99
16,conf_053,-7.0,-7.317,0.32
17,conf_054,-7.0,-6.975,0.03
18,conf_060,-6.0,-5.741,0.26
19,conf_061,-6.5,-6.059,0.44
20,conf_062,-9.0,-8.045,0.96
21,conf_063,7.5,8.137,0.64
22,conf_064,8.0,8.494,0.49
23,conf_065,8.0,8.41,0.41
24,conf_066,-8.0,-8.593,0.59
25,conf_067,-81.5,-81.425,0.08
26,conf_068,83.5,83.428,0.07
27,conf_069,-83.0,-82.541,0.46
28,conf_070,-83.0,-82.386,0.61
29,conf_071,-3.5,-2.894,0.61
30,conf_072,-0.0,-2.388,2.39
31,conf_073,-1.5,-1.803,0.3
32,conf_074,-12.0,-11.017,0.98
33,conf_075,85.5,86.535,1.03
34,conf_081,18.5,19.381,0.88
35,conf_082,45.0,45.473,0.47
36,conf_083,-8.5,-8.082,0.42
37,conf_084,20.5,21.002,0.5
38,conf_085,43.5,44.189,0.69
39,conf_086,19.0,19.864,0.86
41,Average Absolute Error,-----,-----,0.565
42,Std dev,-----,-----,0.442
