,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-7.0,-6.463,0.54
5,conf_012,-43.0,-42.784,0.22
6,conf_013,-43.0,-43.891,0.89
7,conf_014,-43.0,-43.215,0.22
8,conf_017,-11.0,-10.502,0.5
10,conf_029,-10.0,-9.952,0.05
11,conf_030,-10.0,-10.196,0.2
12,conf_032,-7.0,-8.587,1.59
13,conf_037,-2.0,-1.493,0.51
15,conf_041,-0.0,0.988,0.99
16,conf_053,-7.0,-7.317,0.32
17,conf_054,-7.0,-6.975,0.03
18,conf_060,-6.0,-5.741,0.26
19,conf_061,-6.0,-6.059,0.06
20,conf_062,-9.0,-8.045,0.96
21,conf_063,7.0,8.137,1.14
22,conf_064,8.0,8.494,0.49
23,conf_065,8.0,8.41,0.41
24,conf_066,-8.0,-8.593,0.59
25,conf_067,-81.0,-81.425,0.42
26,conf_068,83.0,83.428,0.43
27,conf_069,-83.0,-82.541,0.46
28,conf_070,-83.0,-82.386,0.61
29,conf_071,-2.0,-2.894,0.89
30,conf_072,-0.0,-2.388,2.39
31,conf_073,-1.0,-1.803,0.8
32,conf_074,-13.0,-11.017,1.98
33,conf_075,85.0,86.535,1.53
34,conf_081,18.0,19.381,1.38
35,conf_082,45.0,45.473,0.47
36,conf_083,-8.0,-8.082,0.08
37,conf_084,20.0,21.002,1.0
38,conf_085,44.0,44.189,0.19
39,conf_086,19.0,19.864,0.86
41,Average Absolute Error,-----,-----,0.69
42,Std dev,-----,-----,0.555
